"movies","start_year","end_year","genre_1","genre_2","genre_3","rating","director_1","director_2","star_1","star_2","star_3","star_4","votes","run_time","gross"
"nihon chinbotsu 2020",2020,NA,"Animation","Adventure","Drama",6.4,NA,NA,"Ryan Bartley","Billy Kametz"," Faye Mata","Grace Lynn Kung",2553,25,NA
"win it all",2017,NA,"Comedy",NA,NA,6.2,"Joe Swanberg",NA,"Jake Johnson","Rony Shemon"," Morgan Ng","Edward Kaihatsu",8626,88,NA
"sardar ka grandson",2021,NA,"Comedy","Drama","Romance",4.2,"Kaashvi Nair",NA,"Neena Gupta","Arjun Kapoor"," Rakul Preet Singh","Kanwaljit Singh",4007,139,NA
"disclosure: trans lives on screen",2020,NA,"Documentary",NA,NA,8.2,"Sam Feder",NA,"Laverne Cox","Bianca Leigh"," Jen Richards","Alexandra Billings",4586,108,NA
"gangcheolbi",2017,NA,"Action","Drama","Thriller",7.1,"WooSuk Yang",NA,"Jung Woo-sung","Kwak Do-won"," Kim Kap-su","Eui-sung Kim",4928,139,NA
"kureyon shinchan",1992,NA,"Animation","Comedy","Family",8.2,NA,NA,"Yumiko Kobayashi","Akiko Yajima"," Miki Narahashi","Mari Mashiba",449,25,NA
"v/h/s viral",2014,NA,"Horror","Thriller",NA,4.2,"Justin Benson","
Gregg Bishop","Patrick Lawrie","Emilia Ares"," Celia K. Milius","Steve Berens",15520,81,0
"inosensu: innocence",2004,NA,"Animation","Action","Drama",7.5,"Mamoru Oshii",NA,"Akio Ôtsuka","Atsuko Tanaka"," Tamio Ôki","Kôichi Yamadera",37017,100,1.04
"bajo la piel de lobo",2017,NA,"Action","Adventure","Drama",5.8,"Samu Fuentes",NA,"Mario Casas","Irene Escolar"," Ruth Díaz","Kandido Uranga",2744,110,NA
"mrs. serial killer",2020,NA,"Crime","Drama","Thriller",4.8,"Shirish Kunder",NA,"Jacqueline Fernandez","Manoj Bajpayee"," Mohit Raina","Zayn Marie Khan",13494,106,NA
"100-man no inochi no ue ni ore wa tatte iru",2020,NA,"Animation","Action","Adventure",6.4,NA,NA,"Tara Sands","Makoto Koichi"," Risa Kubota","Yûto Uemura",439,23,NA
"eerie",2018,NA,"Horror","Mystery","Thriller",4.7,"Mikhail Red",NA,"Bea Alonzo","Charo Santos-Concio"," Jake Cuenca","Maxene Magalona",2100,101,NA
"sul più bello",2020,NA,"Comedy","Drama","Romance",5.4,"Alice Filippi",NA,"Giuseppe Maggio","Ludovica Francesconi"," Eleonora Gaggero","Luca John Rosati",333,91,NA
"sulla stessa onda",2021,NA,"Drama","Romance","Sport",5.7,"Massimiliano Camaiti",NA,"Elvira Camarrone","Roberto Christian"," Donatella Finocchiaro","Corrado Invernizzi",961,99,NA
"qu'est-ce qu'on a encore fait au bon dieu?",2019,NA,"Comedy","Drama",NA,6.1,"Philippe de Chauveron",NA,"Christian Clavier","Chantal Lauby"," Ary Abittan","Medi Sadoun",6690,99,NA
"jim & andy: the great beyond - featuring a very special, contractually obligated mention of tony clifton",2017,NA,"Documentary",NA,NA,7.7,"Chris Smith",NA,"Jim Carrey","Danny DeVito"," Milos Forman","Peter Bonerz",24231,94,NA
"bir denizalti hikayesi",NA,NA,"Action","Adventure","Drama",NA,NA,NA,"Kivanç Tatlitug","Özge Özpirinçci"," Meric Aral","Ersin Arici",NA,NA,NA
"wolkenbruchs wunderliche reise in die arme einer schickse",2018,NA,"Comedy","Drama",NA,6.6,"Michael Steiner",NA,"Joel Basman","Noémie Schmidt"," Udo Samel","Sunnyi Melles",3856,94,NA
"the incredible shrinking man",1957,NA,"Horror","Sci-Fi",NA,7.6,"Jack Arnold",NA,"Grant Williams","Randy Stuart"," April Kent","Paul Langton",16821,81,NA
"beneath the leaves",2019,NA,"Thriller",NA,NA,4.6,"Adam Marino",NA,"Mira Sorvino","Kristoffer Polaha"," Doug Jones","Aaron Farb",1389,90,NA
"devils line",2018,NA,"Animation","Action","Crime",6.9,NA,NA,"Luci Christian","Justin Doran"," Adam Gibbs","Yui Ishikawa",876,24,NA
"manny & lo",1996,NA,"Comedy","Drama",NA,6.6,"Lisa Krueger",NA,"Scarlett Johansson","Aleksa Palladino"," Mary Kay Place","Dean Silvers",1944,88,0.5
"gekijô-ban sôdo âto onrain: sword art online - ôdinaru sukêru -",2017,NA,"Animation","Action","Adventure",7.4,"Tomohiko Itô",NA,"Yoshitsugu Matsuoka","Haruka Tomatsu"," Kanae Itô","Ayana Taketatsu",7054,119,NA
"gate: jieitai kanochi nite, kaku tatakaeri",2015,NA,"Animation","Action","Adventure",7.5,NA,NA,"Jun'ichi Suwabe","Nao Tôyama"," Hisako Kanemoto","Risa Taneda",2886,24,NA
"the seven deadly sins: prisoners of the sky",2018,NA,"Animation","Action","Fantasy",7.1,"Yasuto Nishikata","
Noriyuki Abe
","Yûki Kaji","Sora Amamiya"," Misaki Kuno","Aoi Yûki",4007,99,NA
"o mecanismo",2018,NA,"Crime","Drama","Thriller",8.4,NA,NA,"Caroline Abras","Selton Mello"," Enrique Diaz","Jonathan Haagensen",35732,41,NA
"shéhérazade",2018,NA,"Drama","Romance","Thriller",7.1,"Jean-Bernard Marlin",NA,"Dylan Robert","Kenza Fortas"," Idir Azougli","Lisa Amedjout",1810,109,NA
"keopi peurinseu 1-hojeom",2007,NA,"Comedy","Drama","Romance",8.2,NA,NA,"Gong Yoo","Yun Eun-hye"," Sun-kyun Lee","Jeong-an Chae",4606,55,NA
"darc",2018,NA,"Action","Crime","Thriller",5.8,"Julius R. Nasso",NA,"Tony Schiena","Armand Assante"," Kippei Shîna","Shô Ikushima",4109,97,NA
"betonrausch",2020,NA,"Comedy","Drama",NA,5.8,"Cüneyt Kaya",NA,"David Kross","Frederick Lau"," Emily Goss","Susan Angelo",4387,94,NA
"no te puedes esconder",2019,NA,"Action","Crime",NA,6.5,NA,NA,"Blanca Soto","Eduardo Noriega"," Iván Sánchez","Maribel Verdú",918,44,NA
"the legacy of a whitetail deer hunter",2018,NA,"Comedy","Drama",NA,5.5,"Jody Hill",NA,"Josh Brolin","Danny McBride"," Montana Jordan","Scoot McNairy",3691,83,NA
"tu hijo",2018,NA,"Action","Adventure","Crime",6.1,"Miguel Ángel Vivas",NA,"Jose Coronado","Ana Wagener"," Asia Ortega","Pol Monen",4290,103,NA
"killer under the bed",2018,NA,"Horror","Thriller",NA,5.2,"Jeff Hare",NA,"Kristy Swanson","Brec Bassinger"," Madison Lawlor","Chris Prascus",330,90,NA
"black crab",2022,NA,"Action","Adventure","Thriller",NA,"Adam Berg",NA,"Noomi Rapace","Aliette Opheim"," Jakob Oftebro","Dar Salim",NA,NA,NA
"sthlm rekviem",2018,NA,"Crime","Drama","Mystery",6.5,NA,NA,"Liv Mjönes","Jonas Karlsson"," Alexej Manvelov","Magnus Roosmann",1294,45,NA
"a christmas prince",2017,NA,"Comedy","Family","Romance",5.8,"Alex Zamm",NA,"Rose McIver","Ben Lamb"," Alice Krige","Honor Kneafsey",17515,92,NA
"il était une seconde fois",2019,NA,"Drama","Romance","Sci-Fi",6.2,NA,NA,"Gaspard Ulliel","Freya Mavor"," Patrick d'Assumçao","Richard Dillane",774,192,NA
"grégory",2019,NA,"Documentary","Crime","Mystery",7.4,NA,NA,"Page Leong","William Salyers"," James Simenc","Peter James Smith",2505,60,NA
"distrito salvaje",2018,NA,"Action","Crime","Drama",8.3,NA,NA,"Cristina Umaña","Juan Pablo Raba"," Nicolás Quiroga Pineda","Paula Castaño",1727,45,NA
"haereul poomeun dal",2012,NA,"Drama","Fantasy","Romance",8,NA,NA,"Mi-seon Jeon","Mi-kyeong Yang"," Eung-soo Kim","Eun-pyo Jeong",2022,NA,NA
"gumbeobnamnyeo",2018,NA,"Crime","Drama","Thriller",8.3,NA,NA,"Jae-yeong Jeong","Yu-mi Jeong"," Oh Man-seok","Kim Young-woong",484,35,NA
"gunjan saxena: the kargil girl",2020,NA,"Action","Biography","Drama",5.3,"Sharan Sharma",NA,"Janhvi Kapoor","Pankaj Tripathi"," Angad Bedi","Manav Vij",26036,112,NA
"christmas inheritance",2017,NA,"Comedy","Drama","Romance",5.7,"Ernie Barbarash",NA,"Eliza Taylor","Jake Lacy"," Andie MacDowell","Neil Crone",10292,104,NA
"the maus",2017,NA,"Drama","Fantasy","Horror",4.7,"Yayo Herrero",NA,"August Wittgenstein","Alma Terzic"," Aleksandar Seksan","Ella Jazz",4377,90,NA
"nae aidineun gangnammiin",2018,NA,"Comedy","Romance",NA,7.5,NA,NA,"Soo-hyang Im","Cha Eun-Woo"," Woo-Ri Jo","Kwak Dong-yeon",2715,60,NA
"the nailbomber",2021,NA,"Documentary","Crime","History",6.3,"Daniel Vernon",NA,"David Copeland","Arthur"," Talent Chioma Mundy-Castle","Lee Walden",1599,72,NA
"byuti insaideu",2018,NA,"Drama","Fantasy","Romance",7.5,NA,NA,"Hyeon-jin Seo","Lee Min-ki"," Lee Da-hee","Ahn Jae-Hyun",1347,70,NA
"desenfrenadas",2020,NA,"Comedy","Drama",NA,7.3,NA,NA,"Tessa Ia","Bárbara López"," Lucía Uribe","Coty Camacho",796,43,NA
"eobiseu",2019,NA,"Comedy","Fantasy","Romance",7.1,NA,NA,"Park Bo-Young","Ahn Hyo-Seop"," Lee Si-eon","Sung-Jae Lee",1487,60,NA
"#realityhigh",2017,NA,"Comedy","Drama","Romance",5.2,"Fernando Lebrija",NA,"Nesta Cooper","Keith Powers"," Alicia Sanz","Jake Borelli",5947,99,NA
"syucheu",2018,NA,"Crime","Drama","Thriller",7.4,NA,NA,"Jang Dong-Gun","Park Hyung-Sik"," Gwi-hwa Choi","Hee-kyung Jin",558,60,NA
"ashby",2015,NA,"Comedy","Crime","Drama",6.4,"Tony McNamara",NA,"Mickey Rourke","Nat Wolff"," Emma Roberts","Sarah Silverman",15197,100,0
"frères ennemis",2018,NA,"Drama","Thriller",NA,6.4,"David Oelhoffen",NA,"Matthias Schoenaerts","Reda Kateb"," Adel Bencherif","Sofiane Zermani",2248,111,NA
"back to the outback",2021,NA,"Animation","Adventure","Comedy",NA,"Harry Cripps","
Clare Knight
","Guy Pearce","Isla Fisher"," Eric Bana","Wayne Knight",NA,NA,NA
"nero a metà",2018,NA,"Crime","Drama",NA,6.6,NA,NA,"Claudio Amendola","Miguel Gobbo Diaz"," Fortunato Cerlino","Rosa Diletta Rossi",822,60,NA
"perdida",2018,NA,"Crime","Drama","Mystery",5.6,"Alejandro Montiel",NA,"Mara Alberto","Carlos Alcantára"," Juan Ignacio Cane","Pedro Casablanc",4468,103,NA
"la marca del demonio",2020,NA,"Horror",NA,NA,3.2,"Diego Cohen",NA,"Eduardo Noriega","Eivaut Rischen"," Arantza Ruiz","Nicolasa Ortíz Monasterio",2062,82,NA
"el hombre de las mil caras",2016,NA,"Biography","Thriller",NA,6.9,"Alberto Rodríguez",NA,"Jose Coronado","Eduard Fernández"," Miquel García Borda","Santiago Molero",7515,123,NA
"svaha: the sixth finger",2019,NA,"Horror","Mystery","Thriller",6.3,"Jae-hyun Jang",NA,"Yoo Ji-Tae","Jung-jae Lee"," Jin Seon-kyu","Lee Hang-na",3219,122,NA
"carmel: ¿quién mató a maría marta?",2020,NA,"Documentary","Crime","Mystery",7.1,NA,NA,"Rolando Barbano","Carlos Carrascosa"," Pablo Duggan","Horacio García Belsunce",1979,229,NA
"made you look: a true story about fake art",2020,NA,"Documentary","Crime",NA,7,"Barry Avrich",NA,"Ann Freedman","M.H. Miller"," Perry Amsellem","Patricia Cohen",3096,94,NA
"la trinchera infinita",2019,NA,"Action","Drama","History",7.2,"Aitor Arregi","
Jon Garaño","Antonio de la Torre","Belén Cuesta"," Vicente Vergara","José Manuel Poga",5405,147,NA
"go! vive a tu manera",2019,NA,"Comedy","Musical","Romance",7.1,NA,NA,"Rebecca Davis","Marley Estrada"," Marina Gridley","Alyssa LeBarron",491,40,NA
"roll red roll",2018,NA,"Documentary","Crime",NA,7.1,"Nancy Schwartzman",NA,"Mark Cole","Anthony Craig"," Rachel Dissell","Alexandria Goddard",2377,80,NA
"freaks: you're one of us",2020,NA,"Action","Drama","Fantasy",5.4,"Felix Binder",NA,"Cornelia Gröschel","Tim Oliver Schultz"," Wotan Wilke Möhring","Nina Kunzendorf",5256,92,NA
"las muñecas de la mafia",2009,NA,"Drama",NA,NA,6.6,NA,NA,"Jason Chad Roth","Will Rodriguez"," Amparo Grisales","Joseph Snell",246,NA,NA
"hip-hop evolution",2016,NA,"Documentary","Music",NA,8.4,NA,NA,"Shad","LL Cool J"," Alonzo Williams","Melle Mel",5411,90,NA
"milosc do kwadratu",2021,NA,"Comedy","Romance",NA,5,"Filip Zylber",NA,"Adrianna Chlebicka","Mateusz Banasiuk"," Agnieszka Zulewska","Krzysztof Czeczot",2489,102,NA
"eungyo",2012,NA,"Drama","Romance",NA,6.7,"Ji-woo Jung",NA,"Park Hae-il","Mu-Yeol Kim"," Kim Go-eun","Man-sik Jeong",1877,129,NA
"el camino christmas",2017,NA,"Comedy","Crime","Western",5.7,"David E. Talbert",NA,"Dax Shepard","Kurtwood Smith"," Luke Grimes","Emilio Rivera",7695,89,NA
"son: the guest",2018,NA,"Drama","Horror","Mystery",8.2,NA,NA,"Dong-wook Kim","Kim Jae-Wook"," Jung Eun-chae","Park Ho-San",1098,65,NA
"rebel moon",NA,NA,"Adventure","Drama","Fantasy",NA,"Zack Snyder",NA,NA,NA,NA,NA,NA,NA,NA
"lo chiamavano jeeg robot",2015,NA,"Action","Drama","Sci-Fi",7,"Gabriele Mainetti",NA,"Claudio Santamaria","Luca Marinelli"," Ilenia Pastorelli","Stefano Ambrogi",13904,112,NA
"siempre bruja",2019,NA,"Drama","Fantasy",NA,6.3,NA,NA,"Sofía Araujo Mejía","Angely Gaviria"," Sofía Araújo","Dylan Fuentes",2191,40,NA
"tonari no kaibutsu-kun",2012,NA,"Animation","Comedy","Romance",7.3,NA,NA,"Haruka Tomatsu","Tatsuhisa Suzuki"," Atsumi Tanezaki","Ryôta Ôsaka",3293,24,NA
"karakai jouzu no takagi-san",2018,NA,"Animation","Comedy","Romance",7.7,NA,NA,"Rie Takahashi","Yûki Kaji"," Konomi Kohara","Mao Ichimichi",1330,23,NA
"aetaneun romaenseu",2017,NA,"Comedy","Romance",NA,7.1,NA,NA,"Ji-eun Song","Sung Hoon"," Jae-young Kim","Da-Sol Jeong",2365,47,NA
"handsome: a netflix mystery movie",2017,NA,"Comedy","Mystery",NA,5.2,"Jeff Garlin",NA,"Ava Acres","Armani GreatDane"," Dino Battaglia","Brent Bradshaw",4161,80,NA
"private network: who killed manuel buendía?",2021,NA,"Documentary","Crime","Mystery",6.8,"Manuel Alcalá",NA,"Star: Daniel Giménez Cacho",NA,NA,NA,123,100,NA
"swearnet: the movie",2014,NA,"Comedy",NA,NA,5.9,"Warren P. Sonoda",NA,"Mike Smith","Robb Wells"," John Paul Tremblay","Patrick Roach",2536,112,NA
"results",2015,NA,"Comedy","Romance",NA,5.4,"Andrew Bujalski",NA,"Guy Pearce","Cobie Smulders"," Kevin Corrigan","Giovanni Ribisi",6774,105,0.1
"invader zim: enter the florpus",2019,NA,"Animation","Action","Adventure",7.5,"Hae Young Jung","
Young Kyun Park","Richard Steven Horvitz","Rikki Simons"," Andy Berman","Melissa Fahn",5167,71,NA
"pee mak phrakanong",2013,NA,"Comedy","Horror","Romance",7.3,"Banjong Pisanthanakun",NA,"Mario Maurer","Davika Hoorne"," Nattapong Chartpong","Pongsatorn Jongwilak",5185,115,NA
"iriwa anajwo",2018,NA,"Crime","Drama","Mystery",8,NA,NA,"Jang Ki-Yong","Ki-joo Jin"," Joon-ho Huh","Ji-ae Jeon",826,35,NA
"dong wu shi jie",2018,NA,"Action","Fantasy","Sci-Fi",6.5,"Yan Han",NA,"Yifeng Li","Yunhe Yi"," Bingkun Cao","Yijuan Li",3985,132,NA
"voyeur",2017,NA,"Documentary",NA,NA,6.2,"Myles Kane","
Josh Koury
","Gay Talese","Gerald Foos"," Nan Talese","Susan Morrison",5330,95,NA
"croc-blanc",2018,NA,"Animation","Adventure",NA,7,"Alexandre Espigares",NA,"Raphaël Personnaz","Virginie Efira"," Dominique Pinon","Frantz Confiac",3413,85,NA
"michiel de ruyter",2015,NA,"Action","Adventure","Biography",7,"Roel Reiné",NA,"Frank Lammers","Sanne Langelaar"," Barry Atsma","Lieke van Lexmond",9359,151,NA
"blood brother",2018,NA,"Action","Crime","Drama",4.5,"John Pogue",NA,"Trey Songz","Jack Kesy"," China Anne McClain","Hassan Johnson",936,90,NA
"dachra",2018,NA,"Horror",NA,NA,6.7,"Abdelhamid Bouchnak",NA,"Yassmine Dimassi","Hela Ayed"," Aziz Jebali","Bilel Slatnia",1263,114,NA
"yeom-lyeok",2018,NA,"Action","Comedy","Fantasy",5.9,"Sang-ho Yeon",NA,"Seung-ryong Ryu","Shim Eun-kyung"," Jeong Min Park","Yu-mi Jung",5130,101,NA
"against the ice",2021,NA,"Adventure","Drama","History",NA,"Peter Flinth",NA,"Nikolaj Coster-Waldau","Joe Cole"," Charles Dance","Ed Speleers",NA,NA,NA
"blackpink: light up the sky",2020,NA,"Documentary","Music",NA,7.5,"Caroline Suh",NA,"Reila Post","Blackpink"," Jennie Kim","Jisoo Kim",5531,79,NA
"el reino",2021,NA,"Crime","Drama",NA,NA,NA,NA,"Victoria Almeida","Patricio Aramburu"," Chino Darín","Nancy Dupláa",NA,NA,NA
"the guest house",2012,NA,"Romance",NA,NA,3.6,"Michael Baumgarten",NA,"Ruth Reynolds","Madeline Merritt"," Tom McCafferty","Jake Parker",1449,82,NA
"this film is not yet rated",2006,NA,"Documentary",NA,NA,7.5,"Kirby Dick",NA,"Kirby Dick","Kimberly Peirce"," Darren Aronofsky","Atom Egoyan",27671,98,0.3
"happy new year",2014,NA,"Action","Comedy","Crime",5,"Farah Khan",NA,"Shah Rukh Khan","Deepika Padukone"," Abhishek Bachchan","Anupam Kher",35211,180,NA
"hell and back",2015,NA,"Animation","Adventure","Comedy",5.4,"Tom Gianas","
Ross Shuman
","Nick Swardson","Mila Kunis"," Bob Odenkirk","T.J. Miller",4823,86,0.16
"altered carbon: resleeved",2020,NA,"Animation","Action","Crime",6.5,"Takeru Nakajima","
Yoshiyuki Okada","Ray Chase","Doug Stone"," Kaiji Tang","Chris Conner",5301,74,NA
"class of 83",2020,NA,"Action","Crime","Drama",5.8,"Atul Sabharwal",NA,"Bobby Deol","Anup Soni"," Joy Sengupta","Hitesh Bhojraj",5197,98,NA
"the incredible jessica james",2017,NA,"Comedy",NA,NA,6.5,"Jim Strouse",NA,"Jessica Williams","Chris O'Dowd"," LaKeith Stanfield","Noël Wells",6808,85,NA
"18 regali",2020,NA,"Drama",NA,NA,6.7,"Francesco Amato",NA,"Vittoria Puccini","Benedetta Porcaroli"," Edoardo Leo","Sara Lazzaro",3312,115,NA
"nightbooks",2021,NA,"Family","Fantasy","Horror",NA,"David Yarovesky",NA,"Krysten Ritter","Lidya Jewett"," Winslow Fegley","Liam Couvion",NA,NA,NA
"gekkan shojo nozaki-kun",2014,NA,"Animation","Comedy","Romance",7.6,NA,NA,"Yûichi Nakamura","Ari Ozawa"," Christina Marie Kelly","Ty Mahany",2870,24,NA
"i am vengeance: retaliation",2020,NA,"Action",NA,NA,3.4,"Ross Boyask",NA,"Stu Bennett","Vinnie Jones"," Jacob Anderton","Sam Benjamin",1835,82,NA
"street",2015,NA,"Action",NA,NA,4.6,"Bradford May",NA,"Quincy Brown","Mindy Robinson"," Mark Ryan","Kate Miner",973,85,NA
"37 sekanzu",2019,NA,"Drama",NA,NA,7.3,"Hikari",NA,"Nanami Kawakami","Makiko Watanabe"," Mei Kayama","Shizuka Ishibashi",2345,115,NA
"metegol",2013,NA,"Animation","Adventure","Family",6.5,"Juan José Campanella",NA,"Gabriel Almirón","Federico Cecere"," Ezequiel Cipols","Luciana Falcón",9201,106,NA
"sikago tajagi",2017,NA,"Drama","Fantasy","Romance",8.3,NA,NA,"Yoo Ah-in","Lim Soo-jung"," Go Kyung-Pyo","Si-Yang Kwak",1385,70,NA
"i came by",2022,NA,"Thriller",NA,NA,NA,"Babak Anvari",NA,"Kelly Macdonald","George MacKay"," Hugh Bonneville","Varada Sethu",NA,NA,NA
"wu assassins: fistful of vengeance",NA,NA,"Action","Crime","Drama",NA,"Roel Reiné",NA,"Iko Uwais","Lewis Tan"," Jason Tobin","JuJu Chan Szeto",NA,NA,NA
"malibu rescue",2019,NA,"Action","Comedy","Family",5.5,NA,NA,"Ricardo Hurtado","Jackie R. Jacobson"," Abby Donnelly","Alkoya Brunson",848,NA,NA
"geomsaekeoreul ibryeokhaseyo: www",2019,NA,"Drama","Romance",NA,7.9,NA,NA,"Lim Soo-jung","Hye-jin Jeon"," Lee Da-hee","Jang Ki-Yong",833,70,NA
"tiempo compartido",2018,NA,"Drama","Mystery","Thriller",6,"Sebastián Hofmann",NA,"Luis Gerardo Méndez","Miguel Rodarte"," RJ Mitte","Cassandra Ciangherotti",2528,96,NA
"beats",2019,NA,"Drama",NA,NA,6.4,"Chris Robinson",NA,"Khalil Everage","Evan J. Simpson"," Ashley Jackson","Ahmad Nicholas Ferguson",4651,109,NA
"sulla mia pelle",2018,NA,"Biography","Drama",NA,7.3,"Alessio Cremonini",NA,"Alessandro Borghi","Massimiliano Tortora"," Milvia Marigliano","Jasmine Trinca",8345,100,NA
"choked: paisa bolta hai",2020,NA,"Drama",NA,NA,5.8,"Anurag Kashyap",NA,"Saiyami Kher","Roshan Mathew"," Amruta Subhash","Upendra Limaye",4967,114,NA
"roku de nashi majutsu kôshi to akashic records",2017,NA,"Animation","Action","Comedy",7.1,NA,NA,"Josh Grelle","Morgan Laure"," Rachael Messer","Monica Rial",1557,24,NA
"new kids turbo",2010,NA,"Action","Comedy",NA,6.4,"Steffen Haars","
Flip Van der Kuil
","Huub Smit","Tim Haars"," Wesley van Gaalen","Steffen Haars",15413,84,NA
"mersal",2017,NA,"Action","Thriller",NA,7.8,"Atlee Kumar",NA,"Joseph Vijay","Nithya Menen"," S.J. Suryah","Kajal Aggarwal",30551,172,NA
"born to raise hell",2010,NA,"Action","Crime","Thriller",4.4,"Lauro David Chartrand-DelValle",NA,"Steven Seagal","Dan Badarau"," Darren Shahlavi","D. Neil Mark",4086,98,NA
"marco polo: one hundred eyes",2015,NA,"Action","Drama","History",7.8,"Alik Sakharov",NA,"Benedict Wong","Tom Wu"," Lorenzo Richelmy","Olivia Cheng",10146,28,NA
"burn out",2017,NA,"Action","Crime","Thriller",6.2,"Yann Gozlan",NA,"François Civil","Olivier Rabourdin"," Manon Azem","Samuel Jouy",3275,107,NA
"sadece sen",2014,NA,"Action","Drama","Romance",7.3,"Hakan Yonat",NA,"Belçim Bilgin","Ibrahim Celikkol"," Kerem Can","Necmi Yapici",4752,105,NA
"against the sun",2014,NA,"Biography","Drama","War",6.5,"Brian Peter Falk",NA,"Garret Dillahunt","Tom Felton"," Jake Abel","Nadia Parra",5503,100,NA
"zbrodnia",2014,NA,"Action","Crime",NA,6.2,NA,NA,"Magdalena Boczarska","Wojciech Cyplik"," Dorota Kolak","Joanna Kulig",558,60,NA
"akjilkyungchal",2019,NA,"Action","Crime","Drama",6.3,"Jeong-beom Lee",NA,"Song Boo-gun","Park Hae-joon"," Philip Hersh","So-nee Jeon",1768,127,NA
"cinema bandi",2021,NA,"Comedy","Drama",NA,8,"Praveen Kandregula",NA,"Vikas Vasistha","Sandeep Varanasi"," Rag Mayur","Trishara",2001,98,NA
"nappily ever after",2018,NA,"Comedy","Drama","Romance",6.4,"Haifaa Al-Mansour",NA,"Sanaa Lathan","Ricky Whittle"," Lyriq Bent","Lynn Whitfield",8611,98,NA
"neodo inganini",2018,NA,"Comedy","Drama","Romance",8,NA,NA,"Seo Kang-Joon","Gong Seung-Yeon"," Sung-ryung Kim","Lee Joon-hyuk",1802,35,NA
"la reina de indias y el conquistador",2020,NA,"Drama","History",NA,6.7,NA,NA,"Emmanuel Esparza","Essined Aponte"," Manuel Navarro","Álvaro Benet",135,50,NA
"shiny_flakes: the teenage drug lord",2021,NA,"Documentary","Biography","Crime",7.5,"Eva Müller","
Michael Schmitt
","Star: Maximilian Schmidt",NA,NA,NA,132,96,NA
"widaehan yuhokja",2018,NA,"Drama","Mystery","Romance",7.2,NA,NA,"Woo Do-Hwan","Soo-Young Park"," Moon Ga-young","Min-Jae Kim",1331,32,NA
"was it love",2020,NA,"Comedy","Drama","Romance",7.2,NA,NA,"Song Ji-Hyo","Ho Joon Son"," Jong-ho Song","Ja-Sung Koo",685,70,NA
"michael bolton's big, sexy valentine's day special",2017,NA,"Comedy","Music","Musical",6.7,"Scott Aukerman","
Akiva Schaffer
","Michael Bolton","Sarah Shahi"," Adam Scott","Matthew Kimbrough",1993,54,NA
"they cloned tyrone",NA,NA,"Comedy","Mystery","Sci-Fi",NA,"Juel Taylor",NA,"Jamie Foxx","Teyonah Parris"," John Boyega","Nick Arapoglou",NA,NA,NA
"the gruffalo",2009,NA,"Animation","Family",NA,7.5,"Max Lang","
Jakob Schuh
","Helena Bonham Carter","James Corden"," Tom Wilkinson","John Hurt",6484,27,NA
"mother: mazâ",2020,NA,"Drama","Thriller",NA,6.8,"Tatsushi Ohmori",NA,"Masami Nagasawa","Sadao Abe"," Halo Asada","Sho Gunji",2098,126,NA
"st. agatha",2018,NA,"Horror","Thriller",NA,4.9,"Darren Lynn Bousman",NA,"Sabrina Kern","Carolyn Hennesy"," Courtney Halverson","Lindsay Seim",4873,103,NA
"metal lords",2021,NA,"Drama","Music",NA,NA,"Peter Sollett",NA,"Jaeden Martell","Brett Gelman"," Sufe Bradshaw","Isis Hainsworth",NA,NA,NA
"you are my home",2020,NA,"Animation","Family","Fantasy",6.5,"Amanda Raymond",NA,"Alyssa Milano","Cristián de la Fuente"," Angel Parker","Eva Ariel Binder",375,92,NA
"lockwood & co",NA,NA,"Action","Adventure","Drama",NA,NA,NA,"",NA,NA,NA,NA,60,NA
"advantageous",2015,NA,"Drama","Family","Sci-Fi",6.2,"Jennifer Phang",NA,"Jacqueline Kim","James Urbaniak"," Freya Adams","Ken Jeong",5140,90,NA
"annyeong? naya!",2021,NA,"Comedy","Fantasy","Romance",7.2,NA,NA,"Kang-hee Choi","Kim Young-kwang"," Re Lee","Eum Moon Suk",344,65,NA
"berserk: ougon jidai-hen ii - dorudorei koryaku",2012,NA,"Animation","Action","Adventure",7.8,"Toshiyuki Kubooka",NA,"Carrie Keranen","Orion Acaba"," Chris Jai Alex","G.K. Bowes",9421,95,NA
"stalked by my doctor",2015,NA,"Thriller",NA,NA,5.5,"Doug Campbell",NA,"Eric Roberts","Brianna Joy Chomer"," Deborah Zoe","Jon Briddell",1462,88,NA
"crímenes de familia",2020,NA,"Crime","Drama","Thriller",6.6,"Sebastián Schindel",NA,"Cecilia Roth","Miguel Ángel Solá"," Benjamín Amadeo","Sofía Gala Castiglione",3486,99,NA
"gakusen toshi asterisk",2015,NA,"Animation","Action","Comedy",6.9,NA,NA,"Atsushi Tamaru","Ai Kakuma"," Kira Buckland","Erik Scott Kimerer",1696,23,NA
"my perfect romance",2018,NA,"Romance",NA,NA,4.7,"Justin G. Dyck",NA,"Lauren Holly","Morgan Fairchild"," Jodie Sweetin","Christopher Russell",2737,91,NA
"la víctima número 8",2018,NA,"Action","Adventure","Crime",7,NA,NA,"César Mateo","María de Nati"," Verónika Moral","Iñaki Ardanaz",1760,53,NA
"born to be blue",2015,NA,"Biography","Drama","Music",6.9,"Robert Budreau",NA,"Ethan Hawke","Carmen Ejogo"," Callum Keith Rennie","Tony Nappo",8304,97,0.83
