"name","start_year","end_year","genre_1","genre_2","genre_3","rating","director_1","director_2","star_1","star_2","star_3","star_4","votes","run_time","gross","type"
"tokyo trial",2016,NA,"Drama","History",NA,7.4,NA,NA,"Tim Ahern","Paul Freeman"," Serge Hazanavicius","Marcel Hensema",1381,45,NA,"tv"
"ashes of love",2018,NA,"Comedy","Fantasy","Romance",8.4,NA,NA,"Yuqi Chen","Allen Deng"," Zhonghua He","Liao Jingfeng",1577,45,NA,"tv"
"project mc²",2015,NA,"Family",NA,NA,6,NA,NA,"Mika Abdalla","Ysa Penarejo"," Victoria Vida","Genneya Walton",838,26,NA,"tv"
"merry happy whatever",2019,NA,"Comedy",NA,NA,6.3,NA,NA,"Dennis Quaid","Bridgit Mendler"," Brent Morin","Ashley Tisdale",4010,26,NA,"tv"
"adn",2020,NA,"Drama",NA,NA,5.9,"Maïwenn",NA,"Fanny Ardant","Louis Garrel"," Dylan Robert","Marine Vacth",733,90,NA,"tv"
"the stranger",1946,NA,"Crime","Drama","Film-Noir",7.4,"Orson Welles",NA,"Orson Welles","Edward G. Robinson"," Loretta Young","Philip Merivale",25188,95,NA,"tv"
"home for christmas",2019,2020,"Comedy","Drama","Romance",7.7,NA,NA,"Ida Elise Broch","Gabrielle Leithaug"," Hege Schøyen","Dennis Storhøi",11139,29,NA,"tv"
"marseille",2016,2018,"Drama",NA,NA,6.9,NA,NA,"Karen Strassman","Anne Yatco"," Gérard Depardieu","Benoît Magimel",4830,41,NA,"tv"
"wildflower",2014,NA,"Drama","Thriller",NA,5.3,"Nicholas DiBella",NA,"Nathalia Ramos","Cody Longo"," Alexa Rose Steele","Benjamin Ashbrook",866,92,0.01,"tv"
"heartstopper",NA,NA,"Drama","Romance",NA,NA,NA,NA,"Corinna Brown","Kit Connor"," Sebastian Croft","Tobie Donovan",NA,NA,NA,"tv"
"jenni rivera: mariposa de barrio",2017,NA,"Drama","Musical",NA,7.3,NA,NA,"Gabriel Porras","Rosalinda Rodríguez"," Angélica Celaya","Adrian Carvajal",211,45,NA,"tv"
"boy meets girl",2014,NA,"Comedy","Drama","Romance",7.1,"Eric Schaeffer",NA,"Michael Welch","Michelle Hendley"," Alexandra Turshen","Michael Galante",4391,95,0.02,"tv"
