"movies","start_year","end_year","genre_1","genre_2","genre_3","rating","director_1","director_2","star_1","star_2","star_3","star_4","votes","run_time","gross"
"the witcher",2019,NA,"Action","Adventure","Fantasy",NA,"Louise Hooper",NA,"Graham McTavish","Anna Shaffer"," Liz Carr","Simon Callow",NA,NA,NA
"the witcher",2019,NA,"Action","Adventure","Fantasy",NA,"Louise Hooper",NA,"Graham McTavish","Anna Shaffer"," Liz Carr","Simon Callow",NA,NA,NA
"the witcher",2019,NA,"Action","Adventure","Fantasy",NA,"Edward Bazalgette",NA,"Graham McTavish","Liz Carr"," Simon Callow","Paul Bullion",NA,NA,NA
"pandemic: how to prevent an outbreak",2020,NA,"Documentary",NA,NA,6.5,"Isabel Castro","
Arianna LaPenne","Holly Goracke","Dinesh Vijay"," Raghu Sharma","Dennis Carroll",123,NA,NA
"pandemic: how to prevent an outbreak",2020,NA,"Documentary",NA,NA,6.6,"Isabel Castro","
Ryan McGarry","Michel Yao","Syra Madad"," Gustavo Rivera","Caylan Wagar",107,49,NA
"pandemic: how to prevent an outbreak",2020,NA,"Documentary",NA,NA,6.6,"Isabel Castro","
Arianna LaPenne","Holly Goracke","Michel Yao"," Ghazi Kayali","Marwa Kayali",101,NA,NA
"pandemic: how to prevent an outbreak",2020,NA,"Documentary",NA,NA,6.9,"Isabel Castro","
Ryan McGarry","Sarah Ives","Jake Glanville"," Holly Goracke","Anupriya Aggarwal",96,NA,NA
"glitch techs",2020,NA,"Animation","Action","Adventure",8.5,"Jae Woo Kim","
Christofer Graham
","Ricardo Hurtado","Monica Ray"," Luke Youngblood","Scott Kreamer",45,NA,NA
"glitch techs",2020,NA,"Animation","Action","Adventure",8.6,"Jae Woo Kim","
Phil Allora
","Ricardo Hurtado","Monica Ray"," Luke Youngblood","Felicia Day",40,NA,NA
"glitch techs",2020,NA,"Animation","Action","Adventure",8.7,"Jose Romar Escolastico","
Julius Mingi","Ricardo Hurtado","Monica Ray"," Luke Youngblood","Dan Milano",40,NA,NA
"glitch techs",2020,NA,"Animation","Action","Adventure",8.7,"Jose Romar Escolastico","
Julius Mingi","Ricardo Hurtado","Monica Ray"," Scott Kreamer","Adam Croasdell",42,NA,NA
"glitch techs",2020,NA,"Animation","Action","Adventure",8.5,"Jose Romar Escolastico","
Julius Mingi","Ricardo Hurtado","Monica Ray"," Scott Kreamer","Dan Milano",41,NA,NA
"glitch techs",2020,NA,"Animation","Action","Adventure",8.7,"Jose Romar Escolastico","
Julius Mingi","Ricardo Hurtado","Monica Ray"," Luke Youngblood","Scott Kreamer",41,NA,NA
"glitch techs",2020,NA,"Animation","Action","Adventure",8.9,"Jose Romar Escolastico","
Julius Mingi","Ricardo Hurtado","Monica Ray"," Luke Youngblood","Scott Kreamer",47,NA,NA
"glitch techs",2020,NA,"Animation","Action","Adventure",8.8,"Jose Romar Escolastico","
Julius Mingi","Ricardo Hurtado","Monica Ray"," Scott Kreamer","Dan Milano",43,NA,NA
"riverdale",2017,NA,"Crime","Drama","Mystery",7.4,"Claudia Yarmy",NA,"K.J. Apa","Lili Reinhart"," Camila Mendes","Cole Sprouse",692,42,NA
"riverdale",2017,NA,"Crime","Drama","Mystery",8.1,"James DeWille",NA,"K.J. Apa","Lili Reinhart"," Camila Mendes","Cole Sprouse",769,42,NA
"the flash",2014,NA,"Action","Adventure","Drama",7.8,"Eric Dean Seaton",NA,"Grant Gustin","Candice Patton"," Danielle Panabaker","Carlos Valdes",1300,42,NA
"vikings",2013,2020,"Action","Adventure","Drama",9.2,"Joshua Zimmerman",NA,"Jordan Patrick Smith","John Wolfe",NA,NA,304,NA,NA
"avatar: the last airbender",2005,2008,"Animation","Action","Adventure",9.3,"Giancarlo Volpe",NA,"Zach Tyler","Mae Whitman"," Jack De Sena","Michaela Jill Murphy",3294,24,NA
"fauda",2015,NA,"Action","Drama","Thriller",8,"Rotem Shamir",NA,"Lior Raz","Ala Dakka"," Itzik Cohen","Yaakov Zada Daniel",244,46,NA
"the haunting of bly manor",2020,NA,"Drama","Horror","Mystery",7.5,"Ciarán Foy",NA,"Victoria Pedretti","Oliver Jackson-Cohen"," Amelia Eve","T'Nia Miller",3541,45,NA
"black lightning",2017,2021,"Action","Drama","Sci-Fi",7.8,"Salim Akil",NA,"Cress Williams","China Anne McClain"," Nafessa Williams","Christine Adams",329,42,NA
